Wholesaler States,Wholesalers,Wholesaler ID,PDCNs,PDCN Code,Current On Hand in Units,Daily Rate of Sales,Days on Hand
NC,"R H BARRINGER DIST CO INC, NC",63269,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,939,70.1,13.39515
NC,"R H BARRINGER DIST CO INC, NC",63269,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY XBR,10JW46W,492,13.483333,36.489493
NC,"R H BARRINGER DIST CO INC, NC",63269,WW PERNICIOUS 8 % 24/12 AL CAN,10162Z4,489,41.033333,11.917141
NC,"R H BARRINGER DIST CO INC, NC",63269,WW PERNICIOUS 8 % 24/12 NRLN 6/4 EM,101664S,333,22.716667,14.658841
NC,"R H BARRINGER DIST CO INC, NC",63269,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,279,15.15,18.415842
NC,"R H BARRINGER DIST CO INC, NC",63269,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,67,27.2,2.463235
NC,"R H BARRINGER DIST CO INC, NC",63269,WW APP SESSION 5 % 24/16 AL CAN,10EM16S,56,2.3,24.347826
NC,"R H BARRINGER DIST CO INC, NC",63269,WW PERNICIOUS 8 % 24/16 AL CAN,101616S,50,5.433333,9.202454
NC,"R H BARRINGER DIST CO INC, NC",63269,WW COAST LOVE 6 % 24/16 AL CAN 6/4 TRAY,10KS6Z4,36,0.466667,77.142857
NC,"R H BARRINGER DIST CO INC, NC",63269,WW FREAK OF NAT 9% 24/12 AL CAN 4/6 TRAY,105I4Z6,29,3.683333,7.873303
NC,"R H BARRINGER DIST CO INC, NC",63269,WW WATERMELON B 5 % 1/6 BARREL SV,10JU970,8,0.2,40
NC,"R H BARRINGER DIST CO INC, NC",63269,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,7,1.65,4.242424
NC,"R H BARRINGER DIST CO INC, NC",63269,WW LIEUT DANK 7 % 24/12 AL CAN 2/12,10591Z2,5,4.616667,1.083032
NC,"R H BARRINGER DIST CO INC, NC",63269,WW LIEUT DANK 7 % 1/2 BARREL SV,1059940,5,0,300
NC,"R H BARRINGER DIST CO INC, NC",63269,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,4,5.7,0.701754
NC,"R H BARRINGER DIST CO INC, NC",63269,WW WATERMELON B 5 % 1/2 BARREL SV,10JU940,0,0.066667,0
NC,"R H BARRINGER DIST CO INC, NC",63269,WW COAST LOVE 6 % 1/2 BARREL SV,10KS940,0,-0.05,0
NC,"R H BARRINGER DIST CO INC, NC",63269,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,0,7.75,0
NC,"R H BARRINGER DIST CO INC, NC",63269,WW FREAK OF NAT 9% 1/6 BARREL SV,105I970,0,0.05,0
NC,"R H BARRINGER DIST CO INC, NC",63269,WW PERNICIOUS 8 % 1/2 BARREL SV,1016940,0,0.7,0
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,886,53.45,16.576239
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,215,10.9,19.724771
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW PERNICIOUS 8 % 1/2 BARREL SV,1016940,196,0.133333,1470
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW PERNICIOUS 8 % 24/12 NRLN 6/4 EM,101664S,156,7.266667,21.46789
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,152,1.6,95
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,150,26.8,5.597015
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW PERNICIOUS 8 % 24/12 AL CAN,10162Z4,125,27.366667,4.5676
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,68,5.016667,13.554817
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY XBR,10JW46W,45,14.366667,3.132251
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,37,8.083333,4.57732
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW LIEUT DANK 7 % 24/12 AL CAN 2/12,10591Z2,32,4.233333,7.559055
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW APP SESSION 5 % 1/2 BARREL SV,10EM940,26,-0.166667,-156
NC,"ADAMS BEVERAGES OF NC LLC, NC",33213,WW ELEVATION 6 % 1/2 BARREL SV,108F940,25,-0.05,-500
