Wholesaler States,Wholesalers,Wholesaler ID,PDCNs,PDCN Code,Current On Hand in Units,Daily Rate of Sales,Days on Hand
GA,"EAGLE ROCK DIST CO LLC-STN MTN, GA",81018,WW PERNICIOUS 8 % 24/12 AL CAN,10162Z4,13300,16.55,803.625378
GA,"EAGLE ROCK DIST CO LLC-STN MTN, GA",81018,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,5070,14.870833,340.935836
GA,"EAGLE ROCK DIST CO LLC-STN MTN, GA",81018,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,4800,5.983333,802.228412
GA,"EAGLE ROCK DIST CO LLC-STN MTN, GA",81018,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,2960,3.683333,803.61991
GA,"EAGLE ROCK DIST CO LLC-STN MTN, GA",81018,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,2420,3.2625,741.762452
GA,"EAGLE ROCK DIST CO LLC-STN MTN, GA",81018,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY XBR,10JW46W,1820,3.55,512.676056
GA,"EAGLE ROCK DIST CO LLC-STN MTN, GA",81018,WW PERNICIOUS 8 % 24/16 AL CAN,101616S,1520,0.466667,3257.142857
GA,"EAGLE ROCK DIST CO LLC-STN MTN, GA",81018,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,1020,2.470833,412.816189
GA,"EAGLE ROCK DIST CO LLC-STN MTN, GA",81018,WW APP SESSION 5 % 24/16 AL CAN,10EM16S,760,0.233333,3257.142857
GA,"EAGLE ROCK DIST CO LLC-STN MTN, GA",81018,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,300,0.2,1500
GA,"EAGLE ROCK DIST CO LLC-STN MTN, GA",81018,WW COAST LOVE 6 % 24/16 AL CAN 6/4 TRAY,10KS6Z4,240,0.05,4800
GA,"EAGLE ROCK DIST CO LLC-STN MTN, GA",81018,WW BURST SERIES 5 % 1/6 BARREL SV,10JW970,180,0.033333,5400
GA,"EAGLE ROCK DIST CO LLC-STN MTN, GA",81018,WW FREAK OF NAT 9% 24/12 NRLN 6/4 EM,105I64S,20,0.016667,1200
GA,"EAGLE ROCK DIST CO LLC-STN MTN, GA",81018,WW BURST SERIES 5 % 1/6 BARREL SV,10JW97X,20,0.083333,240
GA,"EAGLE ROCK DIST CO LLC-STN MTN, GA",81018,WW FREAK OF NAT 9% 24/12 AL CAN 4/6 TRAY,105I4Z6,20,0.333333,60
GA,"EAGLE ROCK DIST CO LLC-STN MTN, GA",81018,WW APP SESSION 5 % 1/6 BARREL SV,10EM970,-20,0.216667,-92.307692
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,283,10.833333,26.123077
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW PERNICIOUS 8 % 24/12 AL CAN,10162Z4,273,8.033333,33.983402
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW LIEUT DANK 7 % 24/12 AL CAN 2/12,10591Z2,137,1.616667,84.742268
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW APP SESSION 5 % 24/12 AL CAN 4/6 TRAY,10EM4Z6,117,4.533333,25.808824
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW COAST LOVE 6 % 24/12 AL CAN 4/6 TRAY,10KS4W6,114,5.383333,21.176471
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW WATERMELON B 5 % 24/12 AL CAN 4/6 TRAY,10JU4Z6,58,3.3,17.575758
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW FREAK OF NAT 9% 24/12 AL CAN 4/6 TRAY,105I4Z6,43,2.966667,14.494382
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW LIEUT DANK 7 % 24/12 AL CAN 4/6 TRAY,10594Z6,42,2.083333,20.16
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW PERNICIOUS 8 % 24/16 AL CAN,101616S,37,0.583333,63.428571
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW APP SESSION 5 % 24/16 AL CAN,10EM16S,25,0.466667,53.571429
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW APP SESSION 5 % 24/12 AL CAN 2/12,10EM1Z2,23,3.833333,6
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW PERNICIOUS 8 % 1/6 BARREL SV,1016970,18,0.25,72
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW PERNICIOUS 8 % 1/2 BARREL SV,1016940,12,0.2,60
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW APP SESSION 5 % 1/2 BARREL SV,10EM940,6,0.05,120
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW APP SESSION 5 % 1/6 BARREL SV,10EM970,6,-0.016667,-360
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW WATERMELON B 5 % 1/2 BARREL SV,10JU940,4,0,240
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW WATERMELON B 5 % 1/6 BARREL SV,10JU970,4,0.016667,240
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW FREAK OF NAT 9% 1/2 BARREL SV,105I940,2,0,120
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW FREAK OF NAT 9% 1/6 BARREL SV,105I970,0,0.066667,0
GA,"ATLANTA BEVERAGE CO GGP, GA",81019,WW BURST SERIES 5 % 24/12 AL CAN 4/6 TRAY,10JW4Z6,0,0.783333,0
GA,"SOUTHERN CROWN PARTNERS LLC, GA",21075,WW PERNICIOUS 8 % 24/12 AL CAN 4/6 TRAY,10164Z6,121,3.533333,34.245283
